,,"Price per 1,000 input tokens","Price per 1,000 output tokens"
us.anthropic.claude-3-7-sonnet-20250219-v1:0,Claude 3.7 Sonnet v1,0.003,0.015
anthropic.claude-3-5-haiku-20241022-v1:0,Claude 3.5 Haiku,0.0008,0.004
anthropic.claude-3-5-sonnet-20241022-v2:0,Claude 3.5 Sonnet v2,0.003,0.015
anthropic.claude-3-5-sonnet-20240620-v1:0,Claude 3.5 Sonnet v1,0.003,0.015
anthropic.claude-3-haiku-20240307-v1:0,Claude 3 Haiku,0.00025,0.00125
us.amazon.nova-pro-v1:0,Nova Pro,0.0008,0.0002
us.amazon.nova-lite-v1:0,Nova Lite,0.00006,0.000015
